sam,1800
sarvatma,1800
florian,1600
terry,1600
albert,1500
alex,1500
peng,1400
kyle,1300
joe,1200
john,1200
jp,1200
manny,1100
nabesh,1100
dick,1000
jeff,1000
slo,1000
jamie,800
